;Labels_french;Resume_french;;
"0,cv,""Competences * Langages de programmation : Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery. * Apprentissage automatique�:regression, SVM, Naive Bayes, KNN, Random Forest, arbres de decision, techniques de boosting, analyse de cluster, integration de mots, analyse des sentiments, traitement du langage naturel, reduction de dimensionnalite, modelisationde sujets (LDA, NMF), PCA et Reseaux neuronaux. * Visualisations de bases de donnees : Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau. * Autres : Expression reguliere, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, vision par ordinateur - CV ouvert et comprehension du Deep learning.Details de la formation";;;;
;;;;
Associe en assurance de la science des donnees;;;;
;;;;
Associe en assurance de la science des donnees - Ernst & Young LLP;;;;
Details des Competences;;;;
JAVASCRIPT- Experiences - 24 mois;;;;
jQuery - Experiences - 24 mois;;;;
Python - Experiences - 24 moisDetails de l'entreprise;;;;
entreprise - Ernst & Young LLP;;;;
description - Enquetes sur la fraude et assurance des services de reglement des litiges;;;;
ReVISION ASSISTANCE PAR LA TECHNOLOGIE;;;;
TAR (Technology Assisted Review) aide à accelerer le processus d'examen, à executer des analyses et àgenerer des rapports.;;;;
* Membre principal d'une equipe aide à developper un outil de plateforme d'examen automatise à partir de zero pour aider le domaine de decouverte E, cet outil met en oeuvre un codage predictif et une modelisationde sujet en automatisant les examens, ce qui entraîne une reduction des coûts de main-d'œuvre et du temps passe lors de l'examen des avocats.;;;;
* Comprendre le flux de bout en bout de la solution, en effectuant des recherches et du developpement pour des modeles de classification, des analyses predictives et l'exploration des informations presentes dans les donnees textuelles. Travail sur l'analyse des resultats et le suivi de precision de l'ensemble de l'outil.;;;;
* TAR aide au codage predictif et à la modelisationthematique à partir des preuves en suivant les normes EY. Developpement des modeles de classificateur afin d'identifier les « signaux d'alarme » et les problemes lies à la fraude.;;;;
;;;;
Outils et technologies : Python, scikit-learn, tfidf, word2vec, doc2vec, similarite cosinus, Naive Bayes, LDA, NMF pour la modelisationde sujets, Vader et text blob pour l'analyse des sentiments. Matplot lib, tableau de bord Tableau pour les rapports.;;;;
;;;;
PLUSIEURS PROJETS DE SCIENCE DES DONNeES ET D'ANALYSE (CLIENTS USA);;;;
ANALYSE DE TEXTE - DONNeES D'EXAMEN DES CLIENTS DE VeHICULES AUTOMOBILES * Recu des donnees d'enquete sur les commentaires des clients au cours de la derniere annee. Analyse des sentiments (positifs, negatifs et neutres) et des series chronologiques sur les commentaires des clients dans les 4 categories.;;;;
* Creation d'une carte thermique des termes par categorie d'enquete en fonction de la frequence des mots * Extrait des mots positifs et negatifs dans toutes les categories d'enquete et trace d'un nuage de mots.;;;;
* Creation de tableaux de bord personnalises pour des rapports et des visualisations efficaces.;;;;
CHATBOT * Developpement d'un chatbot convivial pour l'un de nos produits qui traite des questions simples sur les heures d'ouverture, les options de reservation, etc.;;;;
* Ce chatbot repond à l'ensemble des questions liees aux produits. Donner un apercu de l'outil via la plate-forme d'assurance qualite et donner egalement des reponses recommandees afin que la question de l'utilisateur puisse creer une chaîne de reponses pertinentes.;;;;
* Celui-ci dispose egalement de l'intelligence necessaire pour creer un pipeline de questions selon les besoins de l'utilisateur et pose les questions pertinentes/recommandees.;;;;
;;;;
Outils et technologies : Python, traitement du langage naturel, NLTK, spacy, modelisationde sujets, analyse des sentiments, integration de mots, scikit-learn, JavaScript/JQuery, SqlServer;;;;
;;;;
GOUVERNANCE DE L'INFORMATION;;;;
Les organisations doivent prendre des decisions eclairees sur toutes les informations qu’elles stockent. Le portefeuille integre de gouvernance de l'information synthetise les renseignements provenant de sources de donnees non structurees et facilite l'action pour garantir que les organisations sont les mieux placees pour contrer les risques lies à l'information.;;;;
* Analysez les donnees de plusieurs sources de formats et analysez differents formats de fichiers, extrayez les informations de metadonnees, poussez les resultats pour l'indexation de la recherche elastique et creez des tableaux de bord interactifs personnalises à l'aide de Kibana.;;;;
* Effectuer une analyse ROT sur les donnees qui fournissent des informations sur les donnees permettant d'identifier le contenu redondant, obsolete ou trivial.;;;;
* Effectuer une analyse de recherche en texte integral sur une recherche elastique avec des methodes predefinies qui peuvent marquer comme (PII) des informations personnellement identifiables (numeros de securite sociale, adresses, noms, etc.) frequemment ciblees lors de cyber-attaques.;;;;
Outils et technologies : Python, Flask, Elastic Search, Kibana;;;;
;;;;
PLATEFORME D'ANALYSE DE FRAUDE;;;;
Plateforme d'analyse de la fraude et d'enquete pour examiner tous les cas d'alerte.;;;;
• FAP est une plateforme d'analyse et d'enquete sur la fraude avec un gestionnaire de cas integre et une suite d'analyses pour divers systemes ERP.;;;;
* Il peut etre utilise par les clients pour interroger leurs systemes comptables afin d'identifier les anomalies qui peuvent etre des indicateurs de fraude en executant des analyses avancees.;;;;
"Outils et technologies : HTML, JavaScript, SqlServer, JQuery, CSS, Bootstrap, Node.js, D3.js, DC.js""";;;;
"1,cv,""Details sur l'education";;;;
Mai 2013 à mai 2017 B.E UIT-RGPV;;;;
Scientifique des donnees;;;;
;;;;
Data Scientist - Matelabs;;;;
Details des Competences;;;;
Python - Experiences - Moins d'un an mois;;;;
Statsmodels - Experiences - 12 mois;;;;
AWS- Experiences - Moins d'un an mois;;;;
Machine learning - Experiences - Moins d'un an mois;;;;
Sklearn- Experiences - Moins d'un an mois;;;;
Scipy- Experiences - Moins de 1 an mois;;;;
Keras- Experiences - Moins d'un an moisDetails de la societe;;;;
entreprise - Matelabs;;;;
description - Plateforme ML pour les professionnels, les nuls et les passionnes.;;;;
60/A Koramangala 5eme bloc,;;;;
Realisations/taches derriere sukh sagar, Bengaluru,;;;;
Inde Developper et deployer des etapes de pretraitement automatique de l'apprentissage automatique qui manquent principalement de valeur;;;;
traitement, detection des valeurs aberrantes, codage, mise à l'echelle, selection des fonctionnalites et reduction de la dimensionnalite.;;;;
Deploiement d'un modele automatise de classification et deregression.;;;;
linkedin.com/in/aditya-rathore-;;;;
b4600b146 Rechercher et deployer les modeles de prevision de series chronologiques ARIMA, SARIMAX, Holt-winter et;;;;
Prophete.;;;;
Travail sur un probleme d'extraction de meta-fonctionnalites.;;;;
github.com/rathorologie;;;;
Mise enoeuvre d'un document de recherche de pointe sur la detection des valeurs aberrantes pour les attributs mixtes.;;;;
entreprise - Matelabs;;;;
"description -""";;;;
